stateid,weekid,dose1,dose2
OR,29,1143479.0,234799.0
OR,30,1282572.0,324652.0
PB,1,16180.0,0.0
PB,2,29129.0,0.0
PB,3,18751.0,0.0
PB,4,27589.0,62.0
PB,5,24720.0,12229.0
PB,6,32491.0,20203.0
PB,7,59316.0,13338.0
PB,8,85862.0,18972.0
PB,9,151231.0,19958.0
PB,10,207963.0,16206.0
PB,11,380030.0,17945.0
PB,12,584632.0,32394.0
PB,13,527457.0,55250.0
PB,14,470970.0,101050.0
PB,15,405841.0,135508.0
PB,16,251366.0,142759.0
PB,17,215032.0,120393.0
PB,18,154749.0,20148.0
PB,19,163372.0,35310.0
PB,20,272281.0,31263.0
PB,21,290780.0,24039.0
PB,22,165350.0,33066.0
PB,23,611485.0,117069.0
PB,24,564016.0,216170.0
PB,25,334440.0,158426.0
PB,26,440082.0,208682.0
PB,27,234134.0,199921.0
PB,28,472618.0,212914.0
PB,29,668889.0,239647.0
PB,30,544924.0,315711.0
PY,1,721.0,0.0
PY,2,1256.0,0.0
PY,3,915.0,0.0
PY,4,2259.0,68.0
PY,5,3740.0,739.0
PY,6,1066.0,398.0
PY,7,4916.0,1011.0
PY,8,8444.0,1400.0
PY,9,14880.0,1801.0
PY,10,17829.0,942.0
PY,11,18143.0,1320.0
PY,12,12935.0,1936.0
PY,13,62923.0,4104.0
PY,14,11770.0,6185.0
PY,15,8532.0,9243.0
PY,16,6300.0,10890.0
PY,17,6317.0,10418.0
PY,18,10720.0,405.0
PY,19,18689.0,287.0
PY,20,22439.0,518.0
PY,21,37002.0,1191.0
PY,22,82298.0,3087.0
PY,23,62436.0,6926.0
PY,24,37659.0,9195.0
PY,25,25635.0,35009.0
PY,26,37986.0,20767.0
PY,27,27745.0,10740.0
PY,28,26086.0,6912.0
PY,29,24601.0,4988.0
PY,30,19944.0,6756.0
RJ,1,44630.0,0.0
RJ,2,260008.0,0.0
RJ,3,126859.0,0.0
RJ,4,150788.0,0.0
RJ,5,187668.0,36825.0
RJ,6,16240.0,184117.0
RJ,7,915155.0,98478.0
